TXYEAR,TXMONTH,Treatment,Cancer_Type,Number,Date_Serial
2000,March,Radiation Therapy,Gynecologic,1309,36586
2000,March,Radiation Therapy,Head and Neck,7003,36586
2000,March,Radiation Therapy,Hematologic,8006,36586
2000,March,Radiation Therapy,Hepatopancreatobiliary,4262,36586
2000,March,Radiation Therapy,Kidney,2874,36586
2000,March,Radiation Therapy,Lung,3260,36586
2000,March,Radiation Therapy,Prostate,6599,36586
2000,March,Radiation Therapy,Skin,9575,36586
2000,March,Radiation Therapy,Soft Tissue,8185,36586
2000,March,Radiation Therapy,Upper Gastrointestinal,7309,36586
2000,March,Surgeries,All Other,7506,36586
2000,March,Surgeries,Bladder,2839,36586
2000,March,Surgeries,Bone,5338,36586
2000,March,Surgeries,Brain,3817,36586
2000,March,Surgeries,Breast,1710,36586
2000,March,Surgeries,Colorectal,5255,36586
2000,March,Surgeries,Gynecologic,5811,36586
2000,March,Surgeries,Head and Neck,2139,36586
2000,March,Surgeries,Hematologic,4259,36586
2000,March,Surgeries,Hepatopancreatobiliary,8747,36586
2000,March,Surgeries,Kidney,5556,36586
2000,March,Surgeries,Lung,2895,36586
2000,March,Surgeries,Prostate,2441,36586
2000,March,Surgeries,Skin,6676,36586
2000,March,Surgeries,Soft Tissue,8227,36586
2000,March,Surgeries,Upper Gastrointestinal,8751,36586
2000,April,Chemotherapy,All Other,1539,36617
2000,April,Chemotherapy,Bladder,5078,36617
2000,April,Chemotherapy,Bone,2348,36617
2000,April,Chemotherapy,Brain,847,36617
2000,April,Chemotherapy,Breast,834,36617
2000,April,Chemotherapy,Colorectal,5505,36617
2000,April,Chemotherapy,Gynecologic,3222,36617
2000,April,Chemotherapy,Head and Neck,3827,36617
2000,April,Chemotherapy,Hematologic,3066,36617
2000,April,Chemotherapy,Hepatopancreatobiliary,5727,36617
2000,April,Chemotherapy,Kidney,5833,36617
2000,April,Chemotherapy,Lung,86,36617
2000,April,Chemotherapy,Prostate,1274,36617
2000,April,Chemotherapy,Skin,5104,36617
2000,April,Chemotherapy,Soft Tissue,8715,36617
2000,April,Chemotherapy,Upper Gastrointestinal,7455,36617
2000,April,Inpatient Days,All Other,653,36617
2000,April,Inpatient Days,Bladder,2373,36617
2000,April,Inpatient Days,Bone,6438,36617
2000,April,Inpatient Days,Brain,5631,36617
2000,April,Inpatient Days,Breast,6937,36617
2000,April,Inpatient Days,Colorectal,2637,36617
2000,April,Inpatient Days,Eye and Orbit,2519,36617
2000,April,Inpatient Days,Gynecologic,9177,36617
2000,April,Inpatient Days,Head and Neck,4382,36617
2000,April,Inpatient Days,Hematologic,1356,36617
2000,April,Inpatient Days,Hepatopancreatobiliary,2454,36617
2000,April,Inpatient Days,Kidney,611,36617
2000,April,Inpatient Days,Lung,4583,36617
2000,April,Inpatient Days,Prostate,8553,36617
2000,April,Inpatient Days,Skin,6832,36617
2000,April,Inpatient Days,Soft Tissue,6691,36617
2000,April,Inpatient Days,Upper Gastrointestinal,4067,36617
2000,April,Radiation Therapy,All Other,965,36617
2000,April,Radiation Therapy,Bladder,8098,36617
2000,April,Radiation Therapy,Brain,7495,36617
2000,April,Radiation Therapy,Breast,5782,36617
2000,April,Radiation Therapy,Colorectal,554,36617
2000,April,Radiation Therapy,Eye and Orbit,7438,36617
2000,April,Radiation Therapy,Gynecologic,5263,36617
2000,April,Radiation Therapy,Head and Neck,826,36617
2000,April,Radiation Therapy,Hematologic,7185,36617
2000,April,Radiation Therapy,Hepatopancreatobiliary,4166,36617
2000,April,Radiation Therapy,Kidney,6160,36617
2000,April,Radiation Therapy,Lung,9991,36617
2000,April,Radiation Therapy,Prostate,1569,36617
2000,April,Radiation Therapy,Skin,2913,36617
2000,April,Radiation Therapy,Soft Tissue,515,36617
2000,April,Radiation Therapy,Upper Gastrointestinal,747,36617
2000,April,Surgeries,All Other,2197,36617
2000,April,Surgeries,Bladder,3715,36617
2000,April,Surgeries,Bone,6549,36617
2000,April,Surgeries,Brain,5065,36617
2000,April,Surgeries,Breast,9314,36617
2000,April,Surgeries,Colorectal,6852,36617
2000,April,Surgeries,Eye and Orbit,1563,36617
2000,April,Surgeries,Gynecologic,5075,36617
2000,April,Surgeries,Head and Neck,4423,36617
2000,April,Surgeries,Hematologic,7136,36617
2000,April,Surgeries,Hepatopancreatobiliary,8073,36617
2000,April,Surgeries,Kidney,590,36617
2000,April,Surgeries,Lung,6147,36617
2000,April,Surgeries,Prostate,7930,36617
2000,April,Surgeries,Skin,6801,36617
2000,April,Surgeries,Soft Tissue,6871,36617
2000,April,Surgeries,Upper Gastrointestinal,1859,36617
2000,May,Chemotherapy,All Other,3691,36647
2000,May,Chemotherapy,Bladder,1019,36647
2000,May,Chemotherapy,Bone,4131,36647
2000,May,Chemotherapy,Brain,9208,36647
2000,May,Chemotherapy,Breast,6556,36647
2000,May,Chemotherapy,Colorectal,4160,36647
2000,May,Chemotherapy,Eye and Orbit,1619,36647
2000,May,Chemotherapy,Gynecologic,9591,36647
2000,May,Chemotherapy,Head and Neck,2695,36647
2000,May,Chemotherapy,Hematologic,6539,36647
2000,May,Chemotherapy,Hepatopancreatobiliary,2380,36647
2000,May,Chemotherapy,Kidney,2900,36647
2000,May,Chemotherapy,Lung,5412,36647
2000,May,Chemotherapy,Prostate,7296,36647
2000,May,Chemotherapy,Skin,1628,36647
2000,May,Chemotherapy,Soft Tissue,2506,36647
2000,May,Chemotherapy,Upper Gastrointestinal,1873,36647
2000,May,Inpatient Days,All Other,8086,36647
2000,May,Inpatient Days,Bladder,3629,36647
2000,May,Inpatient Days,Bone,948,36647
2000,May,Inpatient Days,Brain,7221,36647
2000,May,Inpatient Days,Breast,3135,36647
2000,May,Inpatient Days,Colorectal,5312,36647
2000,May,Inpatient Days,Eye and Orbit,5430,36647
2000,May,Inpatient Days,Gynecologic,1488,36647
2000,May,Inpatient Days,Head and Neck,7933,36647
2000,May,Inpatient Days,Hematologic,2761,36647
2000,May,Inpatient Days,Hepatopancreatobiliary,3153,36647
2000,May,Inpatient Days,Kidney,8893,36647
2000,May,Inpatient Days,Lung,293,36647
2000,May,Inpatient Days,Prostate,3782,36647
2000,May,Inpatient Days,Skin,3210,36647
2000,May,Inpatient Days,Soft Tissue,9390,36647
2000,May,Inpatient Days,Upper Gastrointestinal,7076,36647
2000,May,Radiation Therapy,All Other,2045,36647
2000,May,Radiation Therapy,Bladder,6718,36647
2000,May,Radiation Therapy,Bone,9726,36647
2000,May,Radiation Therapy,Brain,9994,36647
2000,May,Radiation Therapy,Breast,540,36647
2000,May,Radiation Therapy,Colorectal,1662,36647
2000,May,Radiation Therapy,Eye and Orbit,3440,36647
2000,May,Radiation Therapy,Gynecologic,3851,36647
2000,May,Radiation Therapy,Head and Neck,9692,36647
2000,May,Radiation Therapy,Hematologic,1238,36647
2000,May,Radiation Therapy,Hepatopancreatobiliary,4968,36647
2000,May,Radiation Therapy,Kidney,6069,36647
2000,May,Radiation Therapy,Lung,9124,36647
2000,May,Radiation Therapy,Prostate,8142,36647
2000,May,Radiation Therapy,Skin,4861,36647
2000,May,Radiation Therapy,Soft Tissue,3310,36647
2000,May,Radiation Therapy,Upper Gastrointestinal,6701,36647
2000,May,Surgeries,All Other,2066,36647
2000,May,Surgeries,Bladder,5763,36647
2000,May,Surgeries,Bone,3837,36647
2000,May,Surgeries,Brain,3753,36647
2000,May,Surgeries,Breast,897,36647
2000,May,Surgeries,Colorectal,1031,36647
2000,May,Surgeries,Eye and Orbit,9829,36647
2000,May,Surgeries,Gynecologic,3614,36647
2000,May,Surgeries,Head and Neck,9705,36647
2000,May,Surgeries,Hematologic,5898,36647
2000,May,Surgeries,Hepatopancreatobiliary,6034,36647
2000,May,Surgeries,Kidney,4819,36647
2000,May,Surgeries,Lung,2652,36647
2000,May,Surgeries,Prostate,8365,36647
2000,May,Surgeries,Skin,1403,36647
2000,May,Surgeries,Soft Tissue,4253,36647
2000,May,Surgeries,Upper Gastrointestinal,2726,36647
2000,June,Chemotherapy,All Other,5578,36678
2000,June,Chemotherapy,Bladder,9468,36678
2000,June,Chemotherapy,Bone,8023,36678
2000,June,Chemotherapy,Brain,3042,36678
2000,June,Chemotherapy,Breast,2308,36678
2000,June,Chemotherapy,Colorectal,6038,36678
2000,June,Chemotherapy,Eye and Orbit,4427,36678
2000,June,Chemotherapy,Gynecologic,1180,36678
2000,June,Chemotherapy,Head and Neck,3031,36678
2000,June,Chemotherapy,Hematologic,6995,36678
2000,June,Chemotherapy,Hepatopancreatobiliary,2119,36678
2000,June,Chemotherapy,Kidney,6135,36678
2000,June,Chemotherapy,Lung,2792,36678
2000,June,Chemotherapy,Prostate,1378,36678
2000,June,Chemotherapy,Skin,893,36678
2000,June,Chemotherapy,Soft Tissue,7930,36678
2000,June,Chemotherapy,Upper Gastrointestinal,2351,36678
2000,June,Inpatient Days,All Other,1189,36678
2000,June,Inpatient Days,Bladder,5420,36678
2000,June,Inpatient Days,Bone,2891,36678
2000,June,Inpatient Days,Brain,1184,36678
2000,June,Inpatient Days,Breast,1277,36678
2000,June,Inpatient Days,Colorectal,2263,36678
2000,June,Inpatient Days,Eye and Orbit,9876,36678
2000,June,Inpatient Days,Gynecologic,8230,36678
2000,June,Inpatient Days,Head and Neck,8043,36678
2000,June,Inpatient Days,Hematologic,7717,36678
2000,June,Inpatient Days,Hepatopancreatobiliary,6604,36678
2000,June,Inpatient Days,Kidney,8507,36678
2000,June,Inpatient Days,Lung,8143,36678
2000,June,Inpatient Days,Prostate,2035,36678
2000,June,Inpatient Days,Skin,1624,36678
2000,June,Inpatient Days,Soft Tissue,3113,36678
2000,June,Inpatient Days,Upper Gastrointestinal,9809,36678
2000,June,Radiation Therapy,All Other,256,36678
2000,June,Radiation Therapy,Bladder,8280,36678
2000,June,Radiation Therapy,Bone,4316,36678
2000,June,Radiation Therapy,Brain,2952,36678
2000,June,Radiation Therapy,Breast,2633,36678
2000,June,Radiation Therapy,Colorectal,5626,36678
2000,June,Radiation Therapy,Eye and Orbit,7177,36678
2000,June,Radiation Therapy,Gynecologic,2043,36678
2000,June,Radiation Therapy,Head and Neck,1648,36678
2000,June,Radiation Therapy,Hematologic,4481,36678
2000,June,Radiation Therapy,Hepatopancreatobiliary,7156,36678
2000,June,Radiation Therapy,Kidney,3416,36678
2000,June,Radiation Therapy,Lung,493,36678
2000,June,Radiation Therapy,Prostate,7767,36678
2000,June,Radiation Therapy,Skin,2363,36678
2000,June,Radiation Therapy,Soft Tissue,8343,36678
2000,June,Radiation Therapy,Upper Gastrointestinal,6699,36678
2000,June,Surgeries,All Other,7934,36678
2000,June,Surgeries,Bladder,8907,36678
2000,June,Surgeries,Bone,7415,36678
2000,June,Surgeries,Brain,5147,36678
2000,June,Surgeries,Breast,3710,36678
2000,June,Surgeries,Colorectal,9608,36678
2000,June,Surgeries,Eye and Orbit,3219,36678
2000,June,Surgeries,Gynecologic,5507,36678
2000,June,Surgeries,Head and Neck,5870,36678
2000,June,Surgeries,Hematologic,4390,36678
2000,June,Surgeries,Hepatopancreatobiliary,5063,36678
2000,June,Surgeries,Kidney,1033,36678
2000,June,Surgeries,Lung,6245,36678
2000,June,Surgeries,Prostate,33,36678
2000,June,Surgeries,Skin,2416,36678
2000,June,Surgeries,Soft Tissue,2490,36678
2000,June,Surgeries,Upper Gastrointestinal,5089,36678
2000,July,Chemotherapy,All Other,381,36708
2000,July,Chemotherapy,Bladder,4134,36708
2000,July,Chemotherapy,Bone,9605,36708
2000,July,Chemotherapy,Brain,3192,36708
2000,July,Chemotherapy,Breast,6244,36708
2000,July,Chemotherapy,Colorectal,3356,36708
2000,July,Chemotherapy,Eye and Orbit,4348,36708
2000,July,Chemotherapy,Gynecologic,6871,36708
2000,July,Chemotherapy,Head and Neck,8079,36708
2000,July,Chemotherapy,Hematologic,3437,36708
2000,July,Chemotherapy,Hepatopancreatobiliary,2928,36708
2000,July,Chemotherapy,Kidney,6063,36708
2000,July,Chemotherapy,Lung,1581,36708
2000,July,Chemotherapy,Prostate,699,36708
2000,July,Chemotherapy,Skin,652,36708
2000,July,Chemotherapy,Soft Tissue,3819,36708
2000,July,Chemotherapy,Upper Gastrointestinal,7656,36708
2000,July,Inpatient Days,All Other,7089,36708
2000,July,Inpatient Days,Bladder,5556,36708
2000,July,Inpatient Days,Bone,8452,36708
2000,July,Inpatient Days,Brain,4866,36708
2000,July,Inpatient Days,Breast,623,36708
2000,July,Inpatient Days,Colorectal,1337,36708
2000,July,Inpatient Days,Eye and Orbit,5416,36708
2000,July,Inpatient Days,Gynecologic,6844,36708
2000,July,Inpatient Days,Head and Neck,2876,36708
2000,July,Inpatient Days,Hematologic,6076,36708
2000,July,Inpatient Days,Hepatopancreatobiliary,8836,36708
2000,July,Inpatient Days,Kidney,9108,36708
2000,July,Inpatient Days,Lung,5664,36708
2000,July,Inpatient Days,Prostate,5294,36708
2000,July,Inpatient Days,Skin,4371,36708
2000,July,Inpatient Days,Soft Tissue,9987,36708
2000,July,Inpatient Days,Upper Gastrointestinal,623,36708
2000,July,Radiation Therapy,All Other,8474,36708
2000,July,Radiation Therapy,Bladder,2473,36708
2000,July,Radiation Therapy,Bone,5288,36708
2000,July,Radiation Therapy,Brain,3182,36708
2000,July,Radiation Therapy,Breast,6835,36708
2000,July,Radiation Therapy,Colorectal,5008,36708
2000,July,Radiation Therapy,Eye and Orbit,6867,36708
2000,July,Radiation Therapy,Gynecologic,1148,36708
2000,July,Radiation Therapy,Head and Neck,8815,36708
2000,July,Radiation Therapy,Hematologic,3831,36708
2000,July,Radiation Therapy,Hepatopancreatobiliary,7239,36708
2000,July,Radiation Therapy,Kidney,3326,36708
2000,July,Radiation Therapy,Lung,2558,36708
2000,July,Radiation Therapy,Prostate,2322,36708
2000,July,Radiation Therapy,Skin,250,36708
2000,July,Radiation Therapy,Soft Tissue,7929,36708
2000,July,Radiation Therapy,Upper Gastrointestinal,2463,36708
2000,July,Surgeries,All Other,711,36708
2000,July,Surgeries,Bladder,3891,36708
2000,July,Surgeries,Bone,7839,36708
2000,July,Surgeries,Brain,5398,36708
2000,July,Surgeries,Breast,9141,36708
2000,July,Surgeries,Colorectal,8964,36708
2000,July,Surgeries,Eye and Orbit,8812,36708
2000,July,Surgeries,Gynecologic,8454,36708
2000,July,Surgeries,Head and Neck,738,36708
2000,July,Surgeries,Hematologic,9157,36708
2000,July,Surgeries,Hepatopancreatobiliary,1305,36708
2000,July,Surgeries,Kidney,5278,36708
2000,July,Surgeries,Lung,6884,36708
2000,July,Surgeries,Prostate,207,36708
2000,July,Surgeries,Skin,8319,36708
2000,July,Surgeries,Soft Tissue,8347,36708
2000,July,Surgeries,Upper Gastrointestinal,6916,36708
2000,August,Chemotherapy,All Other,2360,36739
2000,August,Chemotherapy,Bladder,5452,36739
2000,August,Chemotherapy,Bone,5134,36739
2000,August,Chemotherapy,Brain,8110,36739
2000,August,Chemotherapy,Breast,3615,36739
2000,August,Chemotherapy,Colorectal,8728,36739
2000,August,Chemotherapy,Eye and Orbit,7707,36739
2000,August,Chemotherapy,Gynecologic,7795,36739
2000,August,Chemotherapy,Head and Neck,2024,36739
2000,August,Chemotherapy,Hematologic,2199,36739
2000,August,Chemotherapy,Hepatopancreatobiliary,4993,36739
2000,August,Chemotherapy,Kidney,9004,36739
2000,August,Chemotherapy,Lung,159,36739
2000,August,Chemotherapy,Prostate,3335,36739
2000,August,Chemotherapy,Skin,5660,36739
2000,August,Chemotherapy,Soft Tissue,3204,36739
2000,August,Chemotherapy,Upper Gastrointestinal,5340,36739
2000,August,Inpatient Days,All Other,1708,36739
2000,August,Inpatient Days,Bladder,5259,36739
2000,August,Inpatient Days,Bone,4942,36739
2000,August,Inpatient Days,Brain,6339,36739
2000,August,Inpatient Days,Breast,4918,36739
2000,August,Inpatient Days,Colorectal,2165,36739
2000,August,Inpatient Days,Eye and Orbit,2131,36739
2000,August,Inpatient Days,Gynecologic,3616,36739
2000,August,Inpatient Days,Head and Neck,4567,36739
2000,August,Inpatient Days,Hematologic,7949,36739
2000,August,Inpatient Days,Hepatopancreatobiliary,3292,36739
2000,August,Inpatient Days,Kidney,965,36739
2000,August,Inpatient Days,Lung,8599,36739
2000,August,Inpatient Days,Prostate,1904,36739
2000,August,Inpatient Days,Skin,5988,36739
2000,August,Inpatient Days,Soft Tissue,7832,36739
2000,August,Inpatient Days,Upper Gastrointestinal,293,36739
2000,August,Radiation Therapy,All Other,383,36739
2000,August,Radiation Therapy,Bladder,3143,36739
2000,August,Radiation Therapy,Bone,185,36739
2000,August,Radiation Therapy,Brain,3745,36739
2000,August,Radiation Therapy,Breast,746,36739
2000,August,Radiation Therapy,Colorectal,7889,36739
2000,August,Radiation Therapy,Eye and Orbit,6971,36739
2000,August,Radiation Therapy,Gynecologic,3600,36739
2000,August,Radiation Therapy,Head and Neck,4677,36739
2000,August,Radiation Therapy,Hematologic,5912,36739
2000,August,Radiation Therapy,Hepatopancreatobiliary,2166,36739
2000,August,Radiation Therapy,Kidney,7951,36739
2000,August,Radiation Therapy,Lung,5596,36739
2000,August,Radiation Therapy,Prostate,6168,36739
2000,August,Radiation Therapy,Skin,533,36739
2000,August,Radiation Therapy,Soft Tissue,3447,36739
2000,August,Radiation Therapy,Upper Gastrointestinal,6999,36739
2000,August,Surgeries,All Other,1748,36739
2000,August,Surgeries,Bladder,7494,36739
2000,August,Surgeries,Bone,4813,36739
2000,August,Surgeries,Brain,258,36739
2000,August,Surgeries,Breast,5507,36739
2000,August,Surgeries,Colorectal,7439,36739
2000,August,Surgeries,Eye and Orbit,9879,36739
2000,August,Surgeries,Gynecologic,8017,36739
2000,August,Surgeries,Head and Neck,6185,36739
2000,August,Surgeries,Hematologic,3101,36739
2000,August,Surgeries,Hepatopancreatobiliary,4110,36739
2000,August,Surgeries,Kidney,9873,36739
2000,August,Surgeries,Lung,6650,36739
2000,August,Surgeries,Prostate,4589,36739
2000,August,Surgeries,Skin,7545,36739
2000,August,Surgeries,Soft Tissue,5417,36739
2000,August,Surgeries,Upper Gastrointestinal,518,36739
2000,September,Chemotherapy,All Other,5190,36770
2000,September,Chemotherapy,Bladder,9682,36770
2000,September,Chemotherapy,Bone,6246,36770
2000,September,Chemotherapy,Brain,1394,36770
2000,September,Chemotherapy,Breast,9194,36770
2000,September,Chemotherapy,Colorectal,8750,36770
2000,September,Chemotherapy,Eye and Orbit,4207,36770
2000,September,Chemotherapy,Gynecologic,7645,36770
2000,September,Chemotherapy,Head and Neck,3076,36770
2000,September,Chemotherapy,Hematologic,7427,36770
2000,September,Chemotherapy,Hepatopancreatobiliary,5269,36770
2000,September,Chemotherapy,Kidney,893,36770
2000,September,Chemotherapy,Lung,8389,36770
2000,September,Chemotherapy,Prostate,73,36770
2000,September,Chemotherapy,Skin,4169,36770
2000,September,Chemotherapy,Soft Tissue,8018,36770
2000,September,Chemotherapy,Upper Gastrointestinal,6605,36770
2000,September,Inpatient Days,All Other,7306,36770
2000,September,Inpatient Days,Bladder,3984,36770
